"","gender","rural","dem_education_level","dem_has_children","age_group"
"748","female","urban","medium","yes","40_65"
"749","female","urban","high","yes","14_25"
"750","male","urban","medium","no","26_39"
"751","male","urban","low","yes","40_65"
"752","male","rural","low","yes","40_65"
"753","male","urban","medium","no","14_25"
"754","female","rural","low","no","14_25"
"755","male","rural","high","yes","40_65"
"756","male","urban","medium","no","40_65"
"757","male","rural","medium","yes","40_65"
"758","male","urban","high","no","14_25"
"759","male","rural","medium","yes","26_39"
"760","male","urban","no","yes","40_65"
"761","male","urban","medium","yes","26_39"
"762","male","urban","high","yes","40_65"
"763","female","urban","low","yes","26_39"
"764","male","urban","no","no","26_39"
"765","male","rural","high","yes","40_65"
